央视卫视,#genre#
CCTV1综合,https://cdn6.cc.cd/163189/cctv1$LR•IPV4•29『线路1』
CCTV1综合,http://111.221.137.234:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•29『线路2』
CCTV1综合,http://go.bkpcp.top/mg/cctv1$LR•IPV4•29『线路3』
CCTV1综合,http://k.061899.xyz/k.php?id=cctv1$LR•IPV4•29『线路4』
CCTV1综合,http://j.s.bkpcp.top/jj/cctv1$LR•IPV4•29『线路5』
CCTV1综合,http://wfenf.x3322.net:7788/608807420$LR•IPV4•29『线路6』
CCTV1综合,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$LR•IPV4•29『线路7』
CCTV1综合,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$LR•IPV4•29『线路8』
CCTV1综合,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009$LR•IPV4•29『线路9』
CCTV1综合,http://120.76.248.139/live/bfgd/4200000484.m3u8$LR•IPV4•29『线路10』
CCTV1综合,http://120.76.248.139/live/bfgd/4200000488.m3u8$LR•IPV4•29『线路11』
CCTV1综合,http://120.76.248.139/live/bfgd/4200000489.m3u8$LR•IPV4•29『线路12』
CCTV1综合,http://120.76.248.139/live/bfgd/4200000201.m3u8$LR•IPV4•29『线路13』
CCTV1综合,http://107.150.60.122/live/cctv1hd.m3u8$LR•IPV4•29『线路14』
CCTV1综合,http://192.151.150.154/live/cctv1hd.m3u8$LR•IPV4•29『线路15』
CCTV1综合,http://198.204.228.26/live/cctv1hd.m3u8$LR•IPV4•29『线路16』
CCTV1综合,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8$LR•IPV4•29『线路17』
CCTV1综合,http://173.208.212.130:8181/720p/cctv1.m3u8$LR•IPV4•29『线路18』
CCTV1综合,http://173.208.212.130:8181/1080p/cctv1.m3u8$LR•IPV4•29『线路19』
CCTV1综合,http://112.30.73.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•29『线路20』
CCTV1综合,http://112.30.73.119:9901/tsfile/live/1425_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•29『线路21』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=cccb6b9cad34d95eaf06a39fcf6acd9e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路22』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=40cf2f40582b104fb087535f9601ea19&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路23』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=92aee428179a0ecc7495490888c0cba9&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路24』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=ae1fc95449a7d4a13c53490cbcae614f&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路25』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=0361e56ecb002b71992e2389d940833d&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路26』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=458e34213492c68772e565c06868d4af&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路27』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=7d30132546d771c3ffff77a937dee30d&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路28』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=478674d2f4e92891de4f30951016036f&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路29』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=107a756f519973a7e95798c05737a47c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路30』
CCTV1综合,https://live.264788.xyz/channel/cctv1?streamid=b3819637a4c479c8ccd4d25e42eb96ca&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$LR•IPV4•29『线路31』
CCTV1综合,http://218.13.148.152:5140/IPTV-%E5%A4%AE%E8%A7%86/CCTV-1$LR•IPV4•29『线路32』
CCTV2财经,http://111.221.137.234:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•29『线路1』
CCTV2财经,http://go.bkpcp.top/mg/cctv2$LR•IPV4•29『线路2』
